Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
67,ORD-2025-00067,2025-01-06,2025-01-09,Second Class,CU8694,Riya Kumar,Consumer,India,Pune,Maharashtra,411001,West,PR-FU-54547,Technology,Accessories,Keyboard,350516.06,8,0.1,24531.74
68,ORD-2025-00068,2025-12-22,2025-12-23,Standard Class,CU8206,Priya Jain,Consumer,India,Hyderabad,Telangana,500001,South,PR-TE-26371,Office Supplies,Binders,Document Folder,3026.45,3,0.05,103.53
69,ORD-2024-00069,2024-11-13,2024-11-18,Standard Class,CU2165,Priya More,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-TE-44801,Technology,Accessories,Keyboard,385007.73,10,0.3,-29338.95
70,ORD-2025-00070,2025-10-26,2025-10-27,First Class,CU5805,Karan Desai,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-66638,Office Supplies,Paper,Notebook,4754.81,1,0.0,853.46
71,ORD-2024-00071,2024-08-13,2024-08-14,Standard Class,CU7402,Akash Sharma,Home Office,India,Patna,Bihar,800001,East,PR-TE-91412,Office Supplies,Storage,Storage Box,1980.19,6,0.2,-6.44
72,ORD-2025-00072,2025-11-19,2025-11-20,Standard Class,CU8287,Neha More,Home Office,India,Ahmedabad,Gujarat,380001,West,PR-FU-85758,Technology,Phones,Smartphone,629458.35,10,0.1,103372.75
73,ORD-2024-00073,2024-12-22,2024-12-24,Standard Class,CU1954,Rohit Jain,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-TE-35559,Technology,Accessories,USB Cable,699564.22,9,0.1,77812.43
74,ORD-2024-00074,2024-09-07,2024-09-12,Second Class,CU7183,Priya Verma,Corporate,India,Hyderabad,Telangana,500001,South,PR-OS-96231,Technology,Phones,Smartphone,225340.2,5,0.2,14758.56
75,ORD-2024-00075,2024-12-18,2024-12-21,First Class,CU3808,Manish Rao,Consumer,India,Chennai,Tamil Nadu,600001,South,PR-OS-64302,Technology,Phones,Smartphone,316050.88,5,0.05,62717.22
76,ORD-2024-00076,2024-12-28,2025-01-02,Standard Class,CU5543,Rahul Desai,Corporate,India,Patna,Bihar,800001,East,PR-FU-11007,Furniture,Furnishings,Wall Clock,52727.04,7,0.05,6116.26
77,ORD-2025-00077,2025-08-08,2025-08-09,Standard Class,CU9073,Deepak Desai,Home Office,India,Pune,Maharashtra,411001,West,PR-TE-30953,Technology,Accessories,Mouse,82320.3,5,0.2,15032.37
78,ORD-2024-00078,2024-09-26,2024-10-01,Standard Class,CU4356,Rahul Yadav,Consumer,India,Delhi,Delhi,110001,Central,PR-FU-99186,Technology,Phones,Android Phone,73871.92,1,0.3,-11425.05
79,ORD-2024-00079,2024-06-05,2024-06-08,Standard Class,CU5179,Arjun Mehta,Consumer,India,Delhi,Delhi,110001,Central,PR-TE-73416,Office Supplies,Storage,File Cabinet,19279.44,4,0.3,-2789.16
80,ORD-2025-00080,2025-07-23,2025-07-27,Standard Class,CU6776,Simran Gupta,Consumer,India,Kolkata,West Bengal,700001,East,PR-FU-78916,Furniture,Chairs,Dining Chair,18015.64,1,0.0,1788.36
81,ORD-2025-00081,2025-07-15,2025-07-19,Standard Class,CU2763,Riya Joshi,Consumer,India,Patna,Bihar,800001,East,PR-FU-75455,Technology,Phones,Business Phone,131566.47,3,0.15,-10023.88
82,ORD-2025-00082,2025-05-15,2025-05-20,Second Class,CU9920,Karan More,Consumer,India,Pune,Maharashtra,411001,West,PR-FU-61195,Office Supplies,Storage,Storage Box,2451.7,1,0.2,166.73
83,ORD-2024-00083,2024-08-01,2024-08-04,Standard Class,CU7368,Amit Patil,Corporate,India,Bangalore,Karnataka,560001,South,PR-FU-55004,Furniture,Furnishings,Desk Lamp,33921.39,6,0.3,5278.45
84,ORD-2025-00084,2025-10-27,2025-10-29,Standard Class,CU7917,Neha Gupta,Home Office,India,Kolkata,West Bengal,700001,East,PR-FU-36015,Technology,Laptops,Business Laptop,121328.61,2,0.05,-6249.32
85,ORD-2025-00085,2025-11-20,2025-11-24,Standard Class,CU5904,Priya Nair,Consumer,India,Delhi,Delhi,110001,Central,PR-TE-46877,Technology,Accessories,Headphones,348150.05,7,0.1,15410.87
86,ORD-2024-00086,2024-03-27,2024-03-31,Standard Class,CU4665,Sachin Desai,Home Office,India,Chennai,Tamil Nadu,600001,South,PR-TE-26082,Office Supplies,Binders,Document Folder,27786.66,7,0.3,1733.15
87,ORD-2024-00087,2024-02-28,2024-03-02,Second Class,CU4453,Nisha Mehta,Consumer,India,Hyderabad,Telangana,500001,South,PR-TE-90818,Technology,Phones,Smartphone,99019.24,6,0.0,5668.8
88,ORD-2024-00088,2024-04-26,2024-04-28,Second Class,CU3958,Meena Verma,Consumer,India,Delhi,Delhi,110001,Central,PR-FU-37490,Office Supplies,Binders,File Binder,13018.88,7,0.05,444.85
89,ORD-2025-00089,2025-04-22,2025-04-24,Same Day,CU4814,Nisha Patil,Consumer,India,Pune,Maharashtra,411001,West,PR-TE-71272,Furniture,Chairs,Executive Chair,25975.24,9,0.3,940.48
90,ORD-2024-00090,2024-08-16,2024-08-21,Second Class,CU7276,Akash Sharma,Consumer,India,Mumbai,Maharashtra,400001,West,PR-OS-33499,Office Supplies,Paper,Notebook,22990.1,10,0.1,2664.53
91,ORD-2024-00091,2024-10-10,2024-10-11,Standard Class,CU1968,Nisha Patil,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-10281,Technology,Phones,Smartphone,77915.24,1,0.15,4727.03
92,ORD-2024-00092,2024-07-16,2024-07-21,Standard Class,CU8473,Rahul Gupta,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-FU-25398,Furniture,Chairs,Office Chair,52083.28,3,0.3,3717.15
93,ORD-2024-00093,2024-06-26,2024-06-30,Same Day,CU8519,Pooja More,Consumer,India,Kolkata,West Bengal,700001,East,PR-TE-47380,Furniture,Furnishings,Wall Clock,21781.64,4,0.05,-1339.85
94,ORD-2024-00094,2024-07-11,2024-07-13,Standard Class,CU4124,Sachin Nair,Corporate,India,Hyderabad,Telangana,500001,South,PR-FU-36984,Furniture,Tables,Office Table,12444.83,10,0.0,1782.71
95,ORD-2025-00095,2025-12-04,2025-12-05,Second Class,CU5114,Sneha Singh,Corporate,India,Mumbai,Maharashtra,400001,West,PR-TE-46321,Technology,Phones,Smartphone,53553.79,5,0.2,6561.03
96,ORD-2024-00096,2024-12-30,2025-01-02,Standard Class,CU9927,Amit Sharma,Corporate,India,Mumbai,Maharashtra,400001,West,PR-FU-32443,Furniture,Tables,Dining Table,76071.18,9,0.2,7569.4
97,ORD-2025-00097,2025-09-13,2025-09-15,Second Class,CU9234,Rahul Mehta,Home Office,India,Pune,Maharashtra,411001,West,PR-OS-91709,Technology,Accessories,Keyboard,32821.44,10,0.05,1081.94
98,ORD-2024-00098,2024-01-21,2024-01-24,First Class,CU7012,Rahul Yadav,Consumer,India,Patna,Bihar,800001,East,PR-FU-46378,Office Supplies,Paper,Notebook,42108.63,9,0.15,-61.67
99,ORD-2025-00099,2025-10-09,2025-10-11,Second Class,CU4654,Manish Nair,Consumer,India,Delhi,Delhi,110001,Central,PR-OS-28743,Office Supplies,Binders,Ring Binder,13749.91,4,0.05,-448.6
100,ORD-2024-00100,2024-02-05,2024-02-09,Standard Class,CU5616,Akash Rao,Consumer,India,Delhi,Delhi,110001,Central,PR-OS-91929,Furniture,Tables,Office Table,128097.67,8,0.2,17976.24
101,ORD-2025-00101,2025-11-12,2025-11-13,Standard Class,CU1482,Anjali Sharma,Consumer,India,Hyderabad,Telangana,500001,South,PR-TE-27014,Furniture,Furnishings,Wall Clock,170830.16,8,0.1,25282.27
102,ORD-2025-00102,2025-10-16,2025-10-19,Same Day,CU7780,Anjali Singh,Consumer,India,Patna,Bihar,800001,East,PR-OS-65754,Technology,Laptops,Laptop,228906.74,9,0.3,15571.98
103,ORD-2025-00103,2025-06-14,2025-06-18,First Class,CU1707,Akash Kumar,Corporate,India,Hyderabad,Telangana,500001,South,PR-FU-82240,Technology,Accessories,Keyboard,72304.77,4,0.2,-3991.47
104,ORD-2025-00104,2025-03-03,2025-03-06,Standard Class,CU4874,Riya Patil,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-TE-19686,Furniture,Furnishings,Wall Clock,18465.95,3,0.3,-2543.28
105,ORD-2025-00105,2025-03-17,2025-03-21,Standard Class,CU8123,Riya Verma,Consumer,India,Jaipur,Rajasthan,302001,Central,PR-OS-91437,Furniture,Bookcases,Wooden Bookcase,25817.16,9,0.05,573.1
106,ORD-2024-00106,2024-04-13,2024-04-18,Standard Class,CU3785,Kavita Desai,Consumer,India,Delhi,Delhi,110001,Central,PR-FU-26163,Office Supplies,Paper,Copy Paper,19004.13,5,0.15,-1432.05
107,ORD-2025-00107,2025-07-31,2025-08-01,Same Day,CU9597,Neha Shah,Home Office,India,Jaipur,Rajasthan,302001,Central,PR-OS-20382,Technology,Phones,Smartphone,25893.61,1,0.1,4743.74
108,ORD-2025-00108,2025-05-04,2025-05-08,Standard Class,CU9264,Nisha Yadav,Corporate,India,Mumbai,Maharashtra,400001,West,PR-OS-34226,Furniture,Tables,Office Table,66031.11,3,0.3,6980.15
109,ORD-2025-00109,2025-04-10,2025-04-14,Standard Class,CU3530,Simran More,Consumer,India,Pune,Maharashtra,411001,West,PR-FU-33429,Technology,Phones,Business Phone,748128.51,9,0.2,52416.48
110,ORD-2025-00110,2025-01-26,2025-01-31,Second Class,CU7610,Rahul Desai,Consumer,India,Pune,Maharashtra,411001,West,PR-OS-49922,Technology,Accessories,USB Cable,307115.71,4,0.05,-26615.58
111,ORD-2024-00111,2024-12-10,2024-12-12,First Class,CU9800,Vikas Desai,Corporate,India,Pune,Maharashtra,411001,West,PR-OS-64823,Furniture,Furnishings,Table Lamp,42131.58,9,0.1,-734.02
112,ORD-2024-00112,2024-08-08,2024-08-12,Standard Class,CU7140,Simran Kumar,Consumer,India,Delhi,Delhi,110001,Central,PR-TE-79252,Technology,Accessories,Mouse,296063.73,5,0.15,16554.86
113,ORD-2025-00113,2025-02-08,2025-02-13,Standard Class,CU9656,Manish Joshi,Consumer,India,Hyderabad,Telangana,500001,South,PR-OS-63744,Office Supplies,Storage,Storage Box,4881.78,1,0.2,656.63
114,ORD-2024-00114,2024-11-03,2024-11-08,Standard Class,CU5200,Manish Sharma,Corporate,India,Hyderabad,Telangana,500001,South,PR-FU-13191,Furniture,Tables,Computer Table,77674.1,8,0.1,11966.12
115,ORD-2025-00115,2025-07-25,2025-07-30,Second Class,CU8083,Manish Shah,Consumer,India,Mumbai,Maharashtra,400001,West,PR-FU-32614,Office Supplies,Binders,Ring Binder,8484.89,7,0.05,1705.45
116,ORD-2025-00116,2025-05-19,2025-05-22,Standard Class,CU6330,Karan Joshi,Consumer,India,Mumbai,Maharashtra,400001,West,PR-OS-74027,Furniture,Furnishings,Table Lamp,191474.27,8,0.0,3419.11
117,ORD-2024-00117,2024-12-15,2024-12-17,First Class,CU9569,Sneha Yadav,Consumer,India,Kolkata,West Bengal,700001,East,PR-OS-96205,Furniture,Furnishings,Desk Lamp,195294.21,8,0.0,837.12
118,ORD-2025-00118,2025-11-06,2025-11-10,First Class,CU5941,Pooja Jain,Consumer,India,Bangalore,Karnataka,560001,South,PR-TE-87425,Furniture,Chairs,Office Chair,3143.05,2,0.1,-231.47
119,ORD-2025-00119,2025-12-25,2025-12-29,Standard Class,CU1301,Manish Yadav,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-92566,Office Supplies,Paper,Notebook,46027.4,10,0.3,-3302.95
120,ORD-2024-00120,2024-09-12,2024-09-15,Second Class,CU5183,Sachin Kumar,Corporate,India,Chennai,Tamil Nadu,600001,South,PR-FU-13754,Office Supplies,Paper,Copy Paper,8214.3,2,0.05,-181.05
121,ORD-2025-00121,2025-05-29,2025-06-01,First Class,CU1448,Rohit Shah,Corporate,India,Patna,Bihar,800001,East,PR-OS-31727,Office Supplies,Storage,Document Storage,1311.52,9,0.2,-63.73
122,ORD-2025-00122,2025-04-17,2025-04-19,Second Class,CU2037,Riya Sharma,Corporate,India,Jaipur,Rajasthan,302001,Central,PR-FU-29873,Office Supplies,Storage,Document Storage,5336.76,2,0.0,1066.58
123,ORD-2024-00123,2024-03-10,2024-03-13,Standard Class,CU6891,Pooja Kumar,Corporate,India,Jaipur,Rajasthan,302001,Central,PR-FU-47804,Furniture,Bookcases,Wooden Bookcase,78479.18,4,0.15,7950.24
124,ORD-2025-00124,2025-05-30,2025-06-04,Standard Class,CU4390,Sachin Sharma,Consumer,India,Ahmedabad,Gujarat,380001,West,PR-TE-65506,Furniture,Furnishings,Wall Clock,99653.21,7,0.15,14763.26
125,ORD-2025-00125,2025-06-25,2025-06-27,Standard Class,CU2019,Arjun Jain,Corporate,India,Kolkata,West Bengal,700001,East,PR-TE-85564,Furniture,Furnishings,Table Lamp,34162.89,4,0.3,-2808.12
126,ORD-2025-00126,2025-10-21,2025-10-24,Standard Class,CU7397,Manish Jain,Consumer,India,Kolkata,West Bengal,700001,East,PR-TE-45525,Office Supplies,Storage,Document Storage,16874.58,9,0.05,301.86
